metabolites,sample_id,ab_value
12.13-diHOME,CSM5MCVN,      198397
9.10-diHOME,CSM5MCVN,      783799
caproate,CSM5MCVN,          15
hydrocinnamate,CSM5MCVN,       14948
mandelate,CSM5MCVN,       15927
3-hydroxyoctanoate,CSM5MCVN,        4482
caprate,CSM5MCVN,       20126
indoleacetate,CSM5MCVN,       16368
3-hydroxydecanoate,CSM5MCVN,      575098
dodecanoate,CSM5MCVN,      501381
undecanedionate,CSM5MCVN,      159155
myristoleate,CSM5MCVN,      113660
myristate,CSM5MCVN,    11443374
dodecanedioate,CSM5MCVN,     2430407
pentadecanoate,CSM5MCVN,    27409250
hydroxymyristate,CSM5MCVN,        7021
palmitoleate,CSM5MCVN,    16358394
palmitate,CSM5MCVN,    36835817
tetradecanedioate,CSM5MCVN,       18918
10-heptadecenoate,CSM5MCVN,     1739014
2-hydroxyhexadecanoate,CSM5MCVN,      373992
alpha-linolenate,CSM5MCVN,    26744914
linoleate,CSM5MCVN,   140533689
oleate,CSM5MCVN,   258876223
stearate,CSM5MCVN,     3150970
hexadecanedioate,CSM5MCVN,        1207
10-nonadecenoate,CSM5MCVN,     3396292
nonadecanoate,CSM5MCVN,       34756
17-methylstearate,CSM5MCVN,       38955
eicosapentaenoate,CSM5MCVN,    10874671
arachidonate,CSM5MCVN,    63839244
eicosatrienoate,CSM5MCVN,    30115579
eicosadienoate,CSM5MCVN,     8650249
eicosenoate,CSM5MCVN,     9831361
arachidate,CSM5MCVN,      202064
phytanate,CSM5MCVN,     2055901
docosahexaenoate,CSM5MCVN,    53092129
docosapentaenoate,CSM5MCVN,    21430144
adrenate,CSM5MCVN,     8611174
13-docosenoate,CSM5MCVN,     1143702
eicosanedioate,CSM5MCVN,        7840
oleanate,CSM5MCVN,    14177504
masilinate,CSM5MCVN,    45973786
lithocholate,CSM5MCVN,   114597192
chenodeoxycholate,CSM5MCVN,     8002538
deoxycholate,CSM5MCVN,   170363205
hyodeoxycholate/ursodeoxycholate,CSM5MCVN,     8816679
ketodeoxycholate,CSM5MCVN,     2433473
alpha-muricholate,CSM5MCVN,     8956634
cholate,CSM5MCVN,    10225632
glycolithocholate,CSM5MCVN,      445267
glycochenodeoxycholate,CSM5MCVN,     1332320
glycodeoxycholate,CSM5MCVN,     1953808
glycoursodeoxycholate,CSM5MCVN,       19713
glycocholate,CSM5MCVN,      698590
taurolithocholate,CSM5MCVN,    11936265
taurochenodeoxycholate,CSM5MCVN,      808699
taurodeoxycholate,CSM5MCVN,    25308859
taurohyodeoxycholate/tauroursodeoxycholate,CSM5MCVN,      281776
tauro-alpha-muricholate/tauro-beta-muricholate,CSM5MCVN,      526912
taurocholate,CSM5MCVN,     5859858
salicylate,CSM5MCVN,       70103
theophylline,CSM5MCVN,     5156038
saccharin,CSM5MCVN,       18179
azelate,CSM5MCVN,      664719
sebacate,CSM5MCVN,      100609
carboxyibuprofen,CSM5MCVN,         575
olmesartan,CSM5MCVN,        5807
1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate,CSM5MCVN,           5
4-hydroxystyrene,CSM5MCVN,        6240
acetytyrosine,CSM5MCVN,      194188
alpha-CEHC,CSM5MCVN,       11345
carnosol,CSM5MCVN,        5891
crustecdysone,CSM5MCVN,        2383
oxypurinol,CSM5MCVN,      638128
palmitoylethanolamide,CSM5MCVN,      242053
phenyllactate,CSM5MCVN,      585886
p-hydroxyphenylacetate,CSM5MCVN,    10446551
porphobilinogen,CSM5MCVN,     8925575
nervonic acid,CSM5MCVN,      195053
acesulfame,CSM5MCVN,      595367
oxymetazoline,CSM5MCVN,         158
C14:0 LPC,CSM5MCVN,       37553
C16:1 LPC,CSM5MCVN,      592758
C16:0 LPC,CSM5MCVN,     8830495
C18:2 LPC,CSM5MCVN,      571168
C18:1 LPC,CSM5MCVN,     2422692
C18:0 LPC,CSM5MCVN,     2676804
C20:5 LPC,CSM5MCVN,      144231
C20:3 LPC,CSM5MCVN,     4523326
C16:1 LPE,CSM5MCVN,      107459
C16:0 LPE,CSM5MCVN,     3559010
C18:2 LPE,CSM5MCVN,      440252
C18:1 LPE,CSM5MCVN,     1051763
C18:0 LPE,CSM5MCVN,      127622
C20:0 LPE,CSM5MCVN,     2480286
C22:0 LPE,CSM5MCVN,        1109
C30:0 PC,CSM5MCVN,       26063
C32:1 PC,CSM5MCVN,       40473
C32:0 PC,CSM5MCVN,      266175
C34:3 PC,CSM5MCVN,        6799
C34:2 PC,CSM5MCVN,      623122
C34:1 PC,CSM5MCVN,     1798538
C34:0 PC,CSM5MCVN,       13345
C36:4 PC-A,CSM5MCVN,       33871
C36:4 PC-B,CSM5MCVN,       40214
C36:3 PC,CSM5MCVN,      408613
C36:2 PC,CSM5MCVN,      642996
C36:1 PC,CSM5MCVN,      222784
C38:6 PC,CSM5MCVN,       19137
C38:4 PC,CSM5MCVN,        6476
C38:3 PC,CSM5MCVN,        7531
C38:2 PC,CSM5MCVN,        1924
C34:4 PC plasmalogen,CSM5MCVN,      157331
C34:2 PC plasmalogen,CSM5MCVN,       30945
C34:1 PC plasmalogen,CSM5MCVN,      318988
C36:5 PC plasmalogen,CSM5MCVN,       30234
C36:4 PC plasmalogen,CSM5MCVN,        9119
C36:2 PC plasmalogen,CSM5MCVN,       46418
C36:1 PC plasmalogen,CSM5MCVN,        1421
C38:4 PC plasmalogen,CSM5MCVN,        5022
C32:0 PE,CSM5MCVN,       20885
C34:0 PE,CSM5MCVN,        3432
sphingosine,CSM5MCVN,     2956848
palmithoylethanolamide,CSM5MCVN,      579781
linoleoylethanolamide,CSM5MCVN,      828554
C2 Ceramide (d18:1),CSM5MCVN,        5351
C16:0 Ceramide (d18:1),CSM5MCVN,     6693364
C22:0 Ceramide (d18:1),CSM5MCVN,     1178110
C24:0 Ceramide (d18:1),CSM5MCVN,     1033477
C24:1 Ceramide (d18:1),CSM5MCVN,     1413794
C16:1 SM,CSM5MCVN,       11845
C16:0 SM,CSM5MCVN,     2521424
C18:1 SM,CSM5MCVN,       47350
C18:0 SM,CSM5MCVN,      191665
C20:0 SM,CSM5MCVN,        6317
C22:1 SM,CSM5MCVN,        2067
C22:0 SM,CSM5MCVN,       56461
C24:1 SM,CSM5MCVN,      321027
C24:0 SM,CSM5MCVN,      118918
C14:0 CE,CSM5MCVN,      386025
C16:1 CE,CSM5MCVN,      587688
C16:0 CE,CSM5MCVN,     1994741
C18:3 CE,CSM5MCVN,     4653780
C18:2 CE,CSM5MCVN,    23864222
C18:1 CE,CSM5MCVN,    17262632
C18:0 CE,CSM5MCVN,     1352539
C20:5 CE,CSM5MCVN,      473101
C20:4 CE,CSM5MCVN,     3079420
