index,sample_id,ab_value,otu
bacteria1,CSM5FZ4M,32.58117,g__Bacteroides|s__Bacteroides_uniformis
bacteria2,CSM5FZ4M,19.08632,g__Bacteroides|s__Bacteroides_ovatus
bacteria3,CSM5FZ4M,13.06322,g__Bacteroides|s__Bacteroides_dorei
bacteria4,CSM5FZ4M,9.36191,g__Faecalibacterium|s__Faecalibacterium_prausnitzii
bacteria5,CSM5FZ4M,6.05912,g__Parabacteroides|s__Parabacteroides_unclassified
bacteria6,CSM5FZ4M,5.87475,g__Alistipes|s__Alistipes_putredinis
bacteria7,CSM5FZ4M,2.87905,g__Acidaminococcus|s__Acidaminococcus_unclassified
bacteria8,CSM5FZ4M,1.99315,g__Bacteroides|s__Bacteroides_thetaiotaomicron
bacteria9,CSM5FZ4M,1.58429,g__Parabacteroides|s__Parabacteroides_johnsonii
bacteria10,CSM5FZ4M,1.56577,g__Subdoligranulum|s__Subdoligranulum_unclassified
bacteria11,CSM5FZ4M,1.1119,g__Bacteroides|s__Bacteroides_xylanisolvens
bacteria12,CSM5FZ4M,0.90411,g__Bacteroides|s__Bacteroides_salyersiae
bacteria13,CSM5FZ4M,0.71109,g__Ruminococcus|s__Ruminococcus_bromii
bacteria14,CSM5FZ4M,0.41547,g__Oscillibacter|s__Oscillibacter_unclassified
bacteria15,CSM5FZ4M,0.41528,g__Alistipes|s__Alistipes_onderdonkii
bacteria16,CSM5FZ4M,0.307,g__Dorea|s__Dorea_longicatena
bacteria17,CSM5FZ4M,0.28149,g__Eubacterium|s__Eubacterium_siraeum
bacteria18,CSM5FZ4M,0.26035,g__Parabacteroides|s__Parabacteroides_distasonis
bacteria19,CSM5FZ4M,0.16194,g__Blautia|s__Ruminococcus_obeum
bacteria20,CSM5FZ4M,0.15772,g__Eubacterium|s__Eubacterium_hallii
bacteria21,CSM5FZ4M,0.13645,g__Coprococcus|s__Coprococcus_comes
bacteria22,CSM5FZ4M,0.11235,g__Dorea|s__Dorea_formicigenerans
bacteria23,CSM5FZ4M,0.10136,g__Escherichia|s__Escherichia_coli
bacteria24,CSM5FZ4M,0.10076,g__Blautia|s__Ruminococcus_torques
bacteria25,CSM5FZ4M,0.09151,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA
bacteria26,CSM5FZ4M,0.08177,g__Clostridium|s__Clostridium_leptum
bacteria27,CSM5FZ4M,0.07802,g__Blautia|s__Ruminococcus_gnavus
bacteria28,CSM5FZ4M,0.06278,g__Odoribacter|s__Odoribacter_unclassified
bacteria29,CSM5FZ4M,0.04782,g__Bilophila|s__Bilophila_unclassified
bacteria30,CSM5FZ4M,0.03619,g__Holdemania|s__Holdemania_filiformis
bacteria31,CSM5FZ4M,0.02001,g__Anaerostipes|s__Anaerostipes_caccae
bacteria32,CSM5FZ4M,0.01955,g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA
bacteria33,CSM5FZ4M,0.0145,g__Collinsella|s__Collinsella_tanakaei
bacteria34,CSM5FZ4M,0.01278,g__Mitsuokella|s__Mitsuokella_unclassified
bacteria35,CSM5FZ4M,0.01023,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA
bacteria36,CSM5FZ4M,0.00788,g__Clostridium|s__Clostridium_clostridioforme
bacteria37,CSM5FZ4M,0.00678,g__Alistipes|s__Alistipes_finegoldii
bacteria38,CSM5FZ4M,0.00619,g__Potyvirus|s__Dasheen_mosaic_virus
bacteria39,CSM5FZ4M,0.00449,g__Bilophila|s__Bilophila_wadsworthia
bacteria40,CSM5FZ4M,0.00369,g__Clostridium|s__Clostridium_bolteae
